time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.d_front_l,{robot}.robotti_global.d_front_r,{robot}.robotti_global.read_right_wheel_pos,{robot}.robotti_global.rear_left_wheel_pos,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
91.89999999999692,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.17230666666921,-27.17230666666921,3.7092943894821735,36.85234354572875,2.8891960415991575
91.94999999999692,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.187106666669212,-27.187106666669212,3.711737662194231,36.823556776935675,2.8483142522695633
91.99999999999692,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.201906666669213,-27.201906666669213,3.714180934906288,36.794670208804135,2.807502918820178
92.04999999999691,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.216706666669214,-27.216706666669214,3.7166242076183456,36.76568401377476,2.766762284877465
92.09999999999691,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.231506666669215,-27.231506666669215,3.719067480330403,36.73659836488292,2.7260925936458396
92.14999999999691,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.246306666669216,-27.246306666669216,3.7215107530424603,36.70741343575768,2.6854940879062186
92.1999999999969,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.261106666669217,-27.261106666669217,3.7239540257545176,36.678129400620776,2.6449670100145726
92.2499999999969,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.27590666666922,-27.27590666666922,3.726397298466575,36.64874643428554,2.6045116019004775
92.2999999999969,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.29070666666922,-27.29070666666922,3.7288405711786323,36.61926471215592,2.564128105065671
92.3499999999969,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.30550666666922,-27.30550666666922,3.7312838438906897,36.58968441022535,2.5238167605826103
92.3999999999969,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.32030666666922,-27.32030666666922,3.733727116602747,36.560005705075795,2.483577809093034
92.44999999999689,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.335106666669223,-27.335106666669223,3.7361703893148044,36.530228773876594,2.443411490806524
92.49999999999689,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.349906666669224,-27.349906666669224,3.7386136620268617,36.500353794383486,2.4033180454990744
