time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
10.29999999999998,0.1,0.0,1.0,0.0,0.0,10.198333333333316
10.399999999999979,0.1,0.0,1.0,0.0,0.0,10.298333333333316
10.499999999999979,0.1,0.0,1.0,0.0,0.0,10.398333333333316
10.599999999999978,0.1,0.0,1.0,0.0,0.0,10.498333333333315
10.699999999999978,0.1,0.0,1.0,0.0,0.0,10.598333333333315
10.799999999999978,0.1,0.0,1.0,0.0,0.0,10.698333333333315
10.899999999999977,0.1,0.0,1.0,0.0,0.0,10.798333333333314
10.999999999999977,0.1,0.0,1.0,0.0,0.0,10.898333333333314
11.099999999999977,0.1,0.0,1.0,0.0,0.0,10.998333333333314
11.199999999999976,0.1,0.0,1.0,0.0,0.0,11.098333333333313
11.299999999999976,0.1,0.0,1.0,0.0,0.0,11.198333333333313
11.399999999999975,0.1,0.0,1.0,0.0,0.0,11.298333333333312
11.499999999999975,0.1,0.0,1.0,0.0,0.0,11.398333333333312
11.599999999999975,0.1,0.0,1.0,0.0,0.0,11.498333333333312
11.699999999999974,0.1,0.0,1.0,0.0,0.0,11.598333333333311
11.799999999999974,0.1,0.0,1.0,0.0,0.0,11.698333333333311
11.899999999999974,0.1,0.0,1.0,0.0,0.0,11.79833333333331
11.999999999999973,0.1,0.0,1.0,0.0,0.0,11.89833333333331
12.099999999999973,0.1,0.0,1.0,0.0,0.0,11.99833333333331
12.199999999999973,0.1,0.0,1.0,0.0,0.0,12.09833333333331
12.299999999999972,0.1,0.0,1.0,0.0,0.0,12.19833333333331
12.399999999999972,0.1,0.0,1.0,0.0,0.0,12.298333333333309
12.499999999999972,0.1,0.0,1.0,0.0,0.0,12.398333333333309
12.599999999999971,0.1,0.0,1.0,0.0,0.0,12.498333333333308
12.69999999999997,0.1,0.0,1.0,0.0,0.0,12.598333333333308
12.79999999999997,0.1,0.0,1.0,0.0,0.0,12.698333333333307
12.89999999999997,0.1,0.0,1.0,0.0,0.0,12.798333333333307
12.99999999999997,0.1,0.0,1.0,0.0,0.0,12.898333333333307
13.09999999999997,0.1,0.0,1.0,0.0,0.0,12.998333333333306
13.199999999999969,0.1,0.0,1.0,0.0,0.0,13.098333333333306
13.299999999999969,0.1,0.0,1.0,0.0,0.0,13.198333333333306
13.399999999999968,0.1,0.0,1.0,0.0,0.0,13.298333333333305
13.499999999999968,0.1,0.0,1.0,0.0,0.0,13.398333333333305
13.599999999999968,0.1,0.0,1.0,0.0,0.0,13.498333333333305
13.699999999999967,0.1,0.0,1.0,0.0,0.0,13.598333333333304
13.799999999999967,0.1,0.0,1.0,0.0,0.0,13.698333333333304
13.899999999999967,0.1,0.0,1.0,0.0,0.0,13.798333333333304
13.999999999999966,0.1,0.0,1.0,0.0,0.0,13.898333333333303
14.099999999999966,0.1,0.0,1.0,0.0,0.0,13.998333333333303
14.199999999999966,0.1,0.0,1.0,0.0,0.0,14.098333333333303
14.299999999999965,0.1,0.0,1.0,0.0,0.0,14.198333333333302
14.399999999999965,0.1,0.0,1.0,0.0,0.0,14.298333333333302
14.499999999999964,0.1,0.0,1.0,0.0,0.0,14.398333333333301
14.599999999999964,0.1,0.0,1.0,0.0,0.0,14.498333333333301
